session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
c5oil4y6,1,ovf4z5tk,0,,InitializeParticipant,1776854229,1,0,0
c5oil4y6,1,ovf4z5tk,1,ratings,A_Intro,1776854250,1,0,0
c5oil4y6,1,ovf4z5tk,2,ratings,A2_Examples,1776854255,1,0,0
c5oil4y6,1,ovf4z5tk,3,ratings,B_Rating,1776854644,1,0,0
c5oil4y6,2,g32gi9uy,0,,InitializeParticipant,1776865578,1,0,0
c5oil4y6,2,g32gi9uy,1,ratings,A_Intro,1776865585,1,0,0
c5oil4y6,3,pplvb8om,0,,InitializeParticipant,1776865587,1,0,0
c5oil4y6,4,amy5sc22,0,,InitializeParticipant,1776865592,1,0,0
c5oil4y6,5,xdiwt1ow,0,,InitializeParticipant,1776865594,1,0,0
c5oil4y6,6,u2iz59vb,0,,InitializeParticipant,1776865595,1,0,0
c5oil4y6,7,hzi5u4i8,0,,InitializeParticipant,1776865595,1,0,0
c5oil4y6,2,g32gi9uy,2,ratings,A2_Examples,1776865600,1,0,0
c5oil4y6,8,62lunvhe,0,,InitializeParticipant,1776865602,1,0,0
c5oil4y6,5,xdiwt1ow,1,ratings,A_Intro,1776865603,1,0,0
c5oil4y6,9,th611pn3,0,,InitializeParticipant,1776865603,1,0,0
c5oil4y6,10,fimny9wb,0,,InitializeParticipant,1776865604,1,0,0
c5oil4y6,11,j5ugj2s4,0,,InitializeParticipant,1776865604,1,0,0
c5oil4y6,3,pplvb8om,1,ratings,A_Intro,1776865604,1,0,0
c5oil4y6,12,u63ywg6t,0,,InitializeParticipant,1776865609,1,0,0
c5oil4y6,13,9r4w8496,0,,InitializeParticipant,1776865610,1,0,0
c5oil4y6,3,pplvb8om,2,ratings,A2_Examples,1776865616,1,0,0
c5oil4y6,14,p522rdwp,0,,InitializeParticipant,1776865618,1,0,0
c5oil4y6,10,fimny9wb,1,ratings,A_Intro,1776865619,1,0,0
c5oil4y6,15,he42kxrr,0,,InitializeParticipant,1776865620,1,0,0
c5oil4y6,12,u63ywg6t,1,ratings,A_Intro,1776865621,1,0,0
c5oil4y6,16,eb91xkgl,0,,InitializeParticipant,1776865622,1,0,0
c5oil4y6,13,9r4w8496,1,ratings,A_Intro,1776865622,1,0,0
c5oil4y6,5,xdiwt1ow,2,ratings,A2_Examples,1776865627,1,0,0
c5oil4y6,4,amy5sc22,1,ratings,A_Intro,1776865629,1,0,0
c5oil4y6,11,j5ugj2s4,1,ratings,A_Intro,1776865631,1,0,0
c5oil4y6,6,u2iz59vb,1,ratings,A_Intro,1776865634,1,0,0
c5oil4y6,14,p522rdwp,1,ratings,A_Intro,1776865636,1,0,0
c5oil4y6,7,hzi5u4i8,1,ratings,A_Intro,1776865638,1,0,0
c5oil4y6,17,qoc40dgk,0,,InitializeParticipant,1776865642,1,0,0
c5oil4y6,9,th611pn3,1,ratings,A_Intro,1776865643,1,0,0
c5oil4y6,7,hzi5u4i8,2,ratings,A2_Examples,1776865649,1,0,0
c5oil4y6,18,qtdabm3m,0,,InitializeParticipant,1776865650,1,0,0
c5oil4y6,4,amy5sc22,2,ratings,A2_Examples,1776865650,1,0,0
c5oil4y6,19,o6s1ca31,0,,InitializeParticipant,1776865652,1,0,0
c5oil4y6,20,zmgsdmfk,0,,InitializeParticipant,1776865655,1,0,0
c5oil4y6,11,j5ugj2s4,2,ratings,A2_Examples,1776865655,1,0,0
c5oil4y6,16,eb91xkgl,1,ratings,A_Intro,1776865657,1,0,0
c5oil4y6,8,62lunvhe,1,ratings,A_Intro,1776865658,1,0,0
c5oil4y6,10,fimny9wb,2,ratings,A2_Examples,1776865658,1,0,0
c5oil4y6,15,he42kxrr,1,ratings,A_Intro,1776865660,1,0,0
c5oil4y6,20,zmgsdmfk,1,ratings,A_Intro,1776865662,1,0,0
c5oil4y6,17,qoc40dgk,1,ratings,A_Intro,1776865663,1,0,0
c5oil4y6,6,u2iz59vb,2,ratings,A2_Examples,1776865663,1,0,0
c5oil4y6,12,u63ywg6t,2,ratings,A2_Examples,1776865668,1,0,0
c5oil4y6,14,p522rdwp,2,ratings,A2_Examples,1776865671,1,0,0
c5oil4y6,21,g46zbnfr,0,,InitializeParticipant,1776865671,1,0,0
c5oil4y6,13,9r4w8496,2,ratings,A2_Examples,1776865673,1,0,0
c5oil4y6,17,qoc40dgk,2,ratings,A2_Examples,1776865684,1,0,0
c5oil4y6,22,eulj4kz2,0,,InitializeParticipant,1776865686,1,0,0
c5oil4y6,9,th611pn3,2,ratings,A2_Examples,1776865694,1,0,0
c5oil4y6,15,he42kxrr,2,ratings,A2_Examples,1776865696,1,0,0
c5oil4y6,23,g1z6tz6x,0,,InitializeParticipant,1776865714,1,0,0
c5oil4y6,24,v3473do3,0,,InitializeParticipant,1776865714,1,0,0
c5oil4y6,16,eb91xkgl,2,ratings,A2_Examples,1776865718,1,0,0
c5oil4y6,24,v3473do3,1,ratings,A_Intro,1776865719,1,0,0
c5oil4y6,21,g46zbnfr,1,ratings,A_Intro,1776865721,1,0,0
c5oil4y6,25,ib3iz5np,0,,InitializeParticipant,1776865724,1,0,0
c5oil4y6,24,v3473do3,2,ratings,A2_Examples,1776865726,1,0,0
c5oil4y6,26,2fxpfrba,0,,InitializeParticipant,1776865731,1,0,0
c5oil4y6,23,g1z6tz6x,1,ratings,A_Intro,1776865731,1,0,0
c5oil4y6,27,eyromi91,0,,InitializeParticipant,1776865734,1,0,0
c5oil4y6,8,62lunvhe,2,ratings,A2_Examples,1776865741,1,0,0
c5oil4y6,28,pldzj23c,0,,InitializeParticipant,1776865742,1,0,0
c5oil4y6,29,eeao8s45,0,,InitializeParticipant,1776865743,1,0,0
c5oil4y6,28,pldzj23c,1,ratings,A_Intro,1776865754,1,0,0
c5oil4y6,26,2fxpfrba,1,ratings,A_Intro,1776865756,1,0,0
c5oil4y6,23,g1z6tz6x,2,ratings,A2_Examples,1776865757,1,0,0
c5oil4y6,19,o6s1ca31,1,ratings,A_Intro,1776865768,1,0,0
c5oil4y6,30,a98l6qpe,0,,InitializeParticipant,1776865771,1,0,0
c5oil4y6,28,pldzj23c,2,ratings,A2_Examples,1776865772,1,0,0
c5oil4y6,27,eyromi91,1,ratings,A_Intro,1776865773,1,0,0
c5oil4y6,25,ib3iz5np,1,ratings,A_Intro,1776865774,1,0,0
c5oil4y6,19,o6s1ca31,2,ratings,A2_Examples,1776865805,1,0,0
c5oil4y6,21,g46zbnfr,2,ratings,A2_Examples,1776865806,1,0,0
c5oil4y6,27,eyromi91,2,ratings,A2_Examples,1776865806,1,0,0
c5oil4y6,25,ib3iz5np,2,ratings,A2_Examples,1776865807,1,0,0
c5oil4y6,26,2fxpfrba,2,ratings,A2_Examples,1776865810,1,0,0
c5oil4y6,30,a98l6qpe,1,ratings,A_Intro,1776865814,1,0,0
