N,power,effect
200,0.336,Medium (d = 0.5; peak +0.69 pts)
400,0.589,Medium (d = 0.5; peak +0.69 pts)
600,0.807,Medium (d = 0.5; peak +0.69 pts)
800,0.905,Medium (d = 0.5; peak +0.69 pts)
1000,0.96,Medium (d = 0.5; peak +0.69 pts)
1200,0.981,Medium (d = 0.5; peak +0.69 pts)
1400,0.985,Medium (d = 0.5; peak +0.69 pts)
1600,0.997,Medium (d = 0.5; peak +0.69 pts)
1800,0.999,Medium (d = 0.5; peak +0.69 pts)
2000,1,Medium (d = 0.5; peak +0.69 pts)
2200,1,Medium (d = 0.5; peak +0.69 pts)
2400,1,Medium (d = 0.5; peak +0.69 pts)
2600,1,Medium (d = 0.5; peak +0.69 pts)
2800,1,Medium (d = 0.5; peak +0.69 pts)
3000,1,Medium (d = 0.5; peak +0.69 pts)
3200,1,Medium (d = 0.5; peak +0.69 pts)
3400,1,Medium (d = 0.5; peak +0.69 pts)
3600,1,Medium (d = 0.5; peak +0.69 pts)
3800,1,Medium (d = 0.5; peak +0.69 pts)
4000,1,Medium (d = 0.5; peak +0.69 pts)
4200,1,Medium (d = 0.5; peak +0.69 pts)
4400,1,Medium (d = 0.5; peak +0.69 pts)
4600,1,Medium (d = 0.5; peak +0.69 pts)
4800,1,Medium (d = 0.5; peak +0.69 pts)
5000,1,Medium (d = 0.5; peak +0.69 pts)
200,0.057,Small (d = 0.2; peak +0.28 pts)
400,0.105,Small (d = 0.2; peak +0.28 pts)
600,0.166,Small (d = 0.2; peak +0.28 pts)
800,0.156,Small (d = 0.2; peak +0.28 pts)
1000,0.233,Small (d = 0.2; peak +0.28 pts)
1200,0.298,Small (d = 0.2; peak +0.28 pts)
1400,0.334,Small (d = 0.2; peak +0.28 pts)
1600,0.391,Small (d = 0.2; peak +0.28 pts)
1800,0.427,Small (d = 0.2; peak +0.28 pts)
2000,0.496,Small (d = 0.2; peak +0.28 pts)
2200,0.527,Small (d = 0.2; peak +0.28 pts)
2400,0.549,Small (d = 0.2; peak +0.28 pts)
2600,0.599,Small (d = 0.2; peak +0.28 pts)
2800,0.626,Small (d = 0.2; peak +0.28 pts)
3000,0.67,Small (d = 0.2; peak +0.28 pts)
3200,0.719,Small (d = 0.2; peak +0.28 pts)
3400,0.755,Small (d = 0.2; peak +0.28 pts)
3600,0.766,Small (d = 0.2; peak +0.28 pts)
3800,0.794,Small (d = 0.2; peak +0.28 pts)
4000,0.819,Small (d = 0.2; peak +0.28 pts)
4200,0.839,Small (d = 0.2; peak +0.28 pts)
4400,0.869,Small (d = 0.2; peak +0.28 pts)
4600,0.867,Small (d = 0.2; peak +0.28 pts)
4800,0.884,Small (d = 0.2; peak +0.28 pts)
5000,0.891,Small (d = 0.2; peak +0.28 pts)
