N,power,effect
200,0.291,Medium (d = 0.5; peak +1.4 s)
400,0.574,Medium (d = 0.5; peak +1.4 s)
600,0.809,Medium (d = 0.5; peak +1.4 s)
800,0.908,Medium (d = 0.5; peak +1.4 s)
1000,0.96,Medium (d = 0.5; peak +1.4 s)
1200,0.983,Medium (d = 0.5; peak +1.4 s)
1400,0.991,Medium (d = 0.5; peak +1.4 s)
1600,0.991,Medium (d = 0.5; peak +1.4 s)
1800,0.999,Medium (d = 0.5; peak +1.4 s)
2000,0.998,Medium (d = 0.5; peak +1.4 s)
2200,1,Medium (d = 0.5; peak +1.4 s)
2400,1,Medium (d = 0.5; peak +1.4 s)
2600,1,Medium (d = 0.5; peak +1.4 s)
2800,1,Medium (d = 0.5; peak +1.4 s)
3000,1,Medium (d = 0.5; peak +1.4 s)
3200,1,Medium (d = 0.5; peak +1.4 s)
3400,1,Medium (d = 0.5; peak +1.4 s)
3600,1,Medium (d = 0.5; peak +1.4 s)
3800,1,Medium (d = 0.5; peak +1.4 s)
4000,1,Medium (d = 0.5; peak +1.4 s)
4200,1,Medium (d = 0.5; peak +1.4 s)
4400,1,Medium (d = 0.5; peak +1.4 s)
4600,1,Medium (d = 0.5; peak +1.4 s)
4800,1,Medium (d = 0.5; peak +1.4 s)
5000,1,Medium (d = 0.5; peak +1.4 s)
200,0.044,Small (d = 0.2; peak +0.5 s)
400,0.118,Small (d = 0.2; peak +0.5 s)
600,0.14,Small (d = 0.2; peak +0.5 s)
800,0.185,Small (d = 0.2; peak +0.5 s)
1000,0.249,Small (d = 0.2; peak +0.5 s)
1200,0.313,Small (d = 0.2; peak +0.5 s)
1400,0.346,Small (d = 0.2; peak +0.5 s)
1600,0.37,Small (d = 0.2; peak +0.5 s)
1800,0.436,Small (d = 0.2; peak +0.5 s)
2000,0.457,Small (d = 0.2; peak +0.5 s)
2200,0.51,Small (d = 0.2; peak +0.5 s)
2400,0.567,Small (d = 0.2; peak +0.5 s)
2600,0.645,Small (d = 0.2; peak +0.5 s)
2800,0.604,Small (d = 0.2; peak +0.5 s)
3000,0.659,Small (d = 0.2; peak +0.5 s)
3200,0.704,Small (d = 0.2; peak +0.5 s)
3400,0.734,Small (d = 0.2; peak +0.5 s)
3600,0.775,Small (d = 0.2; peak +0.5 s)
3800,0.787,Small (d = 0.2; peak +0.5 s)
4000,0.815,Small (d = 0.2; peak +0.5 s)
4200,0.818,Small (d = 0.2; peak +0.5 s)
4400,0.84,Small (d = 0.2; peak +0.5 s)
4600,0.859,Small (d = 0.2; peak +0.5 s)
4800,0.888,Small (d = 0.2; peak +0.5 s)
5000,0.896,Small (d = 0.2; peak +0.5 s)
