participant_code,session_code,feed_toxicity,time_on_feed,lottery_signup,brand_attitude,brand_attitude_c,brand_commitment,mood_pos,mood_neg,attribution,ad_involvement,ad_arousal,info_diagnosticity,recall_unaided,recall_aided,noticed_ad,purchase,choice_mms,seen_movie,movie_liking,brand_familiarity,social_media_usage,age,gender,ethnicity,experienced_toxicity,scroll_depth,ad_dwell_time
06u8on96,c1mufosc,0.2634,50.552,0,5.83333333333333,4.5,5,5.33333333333333,1,12.6666666666667,2.33333333333333,4.66666666666667,5.66666666666667,0,1,1,90,1,4,6,1,5,37,2,2,3.36180139,21,1.3
08ugwg9l,c1mufosc,0.2595,115.645,0,5.16666666666667,5.33333333333333,2.33333333333333,4.33333333333333,2,11,2.66666666666667,4,4,1,1,1,70,0,4,3,1,6,47,2,1,3.559670945,24,0.632
0lls09as,c1mufosc,0.438,66.846,0,4.5,5.83333333333333,5.33333333333333,5,1.66666666666667,11.6666666666667,1.66666666666667,4,5.33333333333333,0,0,0,91,0,3,,1,6,42,2,2,5.57520553,8,
0ow1o7vm,c1mufosc,0.6387,119.869,0,7,7,3,4.66666666666667,3,12,5,6,4.33333333333333,1,1,1,100,0,5,4,1,7,24,2,1,8.46261542,16,7.607
0y0kms72,c1mufosc,0.4215,100.914,0,5.33333333333333,5.5,5.66666666666667,4.33333333333333,2,11.3333333333333,5,4.66666666666667,4,1,1,1,70,1,4,3,1,7,32,2,1,5.94114882,24,2.256
0yyaj1bl,c1mufosc,0.2895,184.639,0,7,6,8.66666666666667,6,1,12.6666666666667,5,5,5,1,1,1,100,1,4,4,1,7,59,1,2,3.624436258,26,6.42
10ft01zf,c1mufosc,0.3589,85.971,0,7,7,1,7,1,12,1,7,7,0,1,1,100,1,3,,1,7,27,1,2,4.82790718,26,0.679
1f19dgry,c1mufosc,0.3628,95.845,0,4.5,5,3,4.66666666666667,1,11.3333333333333,1,1.66666666666667,2,1,1,1,80,1,4,5,1,4,38,2,1,5.025532493,24,5.643
1mqmic5q,c1mufosc,0.3612,58.62,0,6.5,6.5,5.33333333333333,5.33333333333333,1.33333333333333,9.66666666666667,4.66666666666667,5.66666666666667,3.66666666666667,1,1,1,90,1,3,,1,2,37,2,1,4.6809985,17,5.965
1nutol1a,c1mufosc,0.7373,156.377,0,4.83333333333333,5,6.33333333333333,4.66666666666667,1.33333333333333,11.6666666666667,1,4,1,0,0,0,100,1,4,5,1,4,48,2,1,9.72718325,16,3.614
21xcl4i9,c1mufosc,0.1461,87.317,0,4.5,4.16666666666667,3.66666666666667,4.33333333333333,2.33333333333333,12,1,4,4,1,1,1,40,0,4,5,1,5,25,1,1,1.991842322,16,3.785
2cehzs9m,c1mufosc,0.791,51.685,0,6.16666666666667,6.16666666666667,2.33333333333333,3.66666666666667,2,11.6666666666667,1,4,4,0,0,0,100,1,3,,1,7,41,2,1,9.64333635,10,
2h7az2f0,c1mufosc,0.7991,226.623,0,6.33333333333333,6.5,6.33333333333333,6.66666666666667,1,11.3333333333333,5.33333333333333,6.33333333333333,5.66666666666667,1,1,1,96,1,3,,1,7,74,2,1,10.15675088,26,3.912
2iebzlnd,c1mufosc,0.151,48.844,0,7,6.5,3,7,1,12,3.33333333333333,4.66666666666667,7,1,1,1,90,0,4,7,1,7,38,1,1,1.7192282,20,2.763
2o1ggnry,c1mufosc,0.7548,126.212,1,4.66666666666667,3.33333333333333,3.33333333333333,3.33333333333333,1.66666666666667,12,4.33333333333333,4,4,1,1,1,65,0,4,4,1,5,34,1,1,9.48539207,26,12.584
324pcn46,c1mufosc,0.1981,42.571,0,5.83333333333333,5,3.66666666666667,5,2,12.3333333333333,2,4,1,0,0,0,59,0,3,,1,7,18,2,1,2.308523787,2,
3pbhy5hw,c1mufosc,0.4749,40.801,0,6,4.16666666666667,6,6,1,12.3333333333333,3.66666666666667,4.33333333333333,4.33333333333333,0,0,0,80,1,4,6,1,7,35,1,4,6.09587007,16,1.067
41fpikbj,c1mufosc,0.2475,27.122,0,1,1.5,4,1.66666666666667,2.33333333333333,12.6666666666667,1,1.33333333333333,1,1,1,1,1,0,3,,1,4,46,1,1,2.8913870455,26,0.133
4e2tcery,c1mufosc,0.5155,84.782,0,5.33333333333333,6,3.66666666666667,5.66666666666667,2,11,1,4.33333333333333,4,0,0,0,68,1,3,,1,5,32,1,1,5.64674292,23,0.266
4pmmucfp,c1mufosc,0.4675,127.031,0,5.5,3.5,2,3.66666666666667,1.66666666666667,11.3333333333333,2,1.66666666666667,4.33333333333333,1,1,1,80,0,3,,1,4,45,1,1,6.274780753,24,8.024
4ptb9x91,c1mufosc,0.1251,44.559,0,7,7,3.66666666666667,4.33333333333333,1,11,1,4,2,0,0,0,100,1,3,,1,7,33,2,2,1.828931493,7,
4sglrxzr,c1mufosc,0.4441,56.548,0,5.33333333333333,4.5,3.66666666666667,4.66666666666667,2,12.3333333333333,1,2.66666666666667,4,0,0,0,64,0,4,5,1,5,37,1,4,5.77317148,8,
503q8enz,c1mufosc,0.8127,280.647,0,5.83333333333333,4,5,6.33333333333333,1,11.6666666666667,4,5.66666666666667,4,0,0,0,70,0,4,6,1,3,32,1,2,10.82079977,16,0.36
